(230, 192)
(248, 78)
(148, 36)
(54, 72)
(30, 160)
(126, 220)
(169, 32)
(84, 4)
(11, 37)
(76, 255)
(147, 205)
(244, 198)
(113, 247)
(177, 236)
(249, 57)
(208, 8)
(93, 161)
(7, 145)
(0, 172)
(16, 198)
(241, 244)
(157, 140)
(101, 110)
(99, 12)
(91, 10)
(55, 7)
(28, 249)
(62, 189)
(182, 108)
(248, 120)
(73, 201)
(160, 173)
(219, 83)
(119, 94)
(81, 135)
(37, 55)
(241, 99)
(164, 29)
(15, 85)
(73, 108)
(113, 162)
(44, 227)
(14, 115)
(105, 238)
(205, 220)
(118, 142)
(242, 19)
(74, 31)
(2, 227)
(100, 243)
(235, 209)
(105, 202)
(154, 163)
(42, 13)
(207, 211)
(235, 16)
(170, 66)
(130, 25)
(89, 197)
(41, 230)
(2, 238)
(245, 218)
(227, 130)
(198, 120)
(125, 147)
(236, 27)
(244, 5)
(3, 72)
(144, 167)
(178, 137)
(217, 134)
(221, 251)
(240, 32)
(15, 7)
(61, 102)
(180, 75)
(118, 164)
(94, 249)
(21, 247)
(235, 103)
(133, 81)
(86, 122)
(50, 93)
(20, 9)
(5, 240)
(253, 136)
(194, 131)
(63, 182)
(101, 83)
(65, 15)
(29, 21)
(107, 235)
(80, 104)
(148, 119)
(109, 65)
(226, 89)
